city_norm,item_id,month,forecasted_qty
ayodhya,10000867,2025-12-01,180.16115
baddi,10000867,2025-12-01,30.60874
bahadurgarh,10000867,2025-12-01,270.6783
ballari,10000867,2025-12-01,21.96588
barabanki,10000867,2025-12-01,90.958466
bardhaman,10000867,2025-12-01,75.22817
bareilly,10000867,2025-12-01,216.01564
batala,10000867,2025-12-01,47.444782
bathinda,10000867,2025-12-01,46.23946
begusarai,10000867,2025-12-01,55.357418
belgaum,10000867,2025-12-01,31.306612
bengaluru,10000867,2025-12-01,2763.6638
berhampur,10000867,2025-12-01,118.192505
bhagalpur,10000867,2025-12-01,105.880905
bharuch,10000867,2025-12-01,18.576738
bhavnagar,10000867,2025-12-01,17.70936
bhimavaram,10000867,2025-12-01,16.25652
bhiwadi,10000867,2025-12-01,301.99393
bhiwani,10000867,2025-12-01,107.25523
bhopal,10000867,2025-12-01,300.1511
bhubaneswar,10000867,2025-12-01,599.2908
bhuj,10000867,2025-12-01,13.548274
bidar,10000867,2025-12-01,28.405012
bijapur,10000867,2025-12-01,18.54166
bikaner,10000867,2025-12-01,31.053102
bokaro,10000867,2025-12-01,76.01845
chandigarh,10000867,2025-12-01,747.8451
chandrapur,10000867,2025-12-01,22.129374
chennai,10000867,2025-12-01,484.63333
cuttack,10000867,2025-12-01,172.49753
darbhanga,10000867,2025-12-01,45.333378
davanagere,10000867,2025-12-01,12.930672
dehradun,10000867,2025-12-01,1063.2823
delhi,10000867,2025-12-01,25042.111
deoghar,10000867,2025-12-01,74.18716
deoria,10000867,2025-12-01,87.98187
dewas,10000867,2025-12-01,20.984377
dhanbad,10000867,2025-12-01,211.21545
dharamshala,10000867,2025-12-01,24.009708
dharwad,10000867,2025-12-01,31.173214
durg,10000867,2025-12-01,46.11671
durgapur,10000867,2025-12-01,122.76475
eluru,10000867,2025-12-01,22.187346
faridabad,10000867,2025-12-01,3243.879
farrukhabad,10000867,2025-12-01,50.38166
